id,category,category_JP,category_EN,category_ZH,category_KR,JP,EN,ZH,KR
347,reflection,内省,Reflection,反思,성찰,今日のあなたは心の声にどう向き合いますか,How are you facing the voice of your heart today?,今天，你要如何面对你内心的声音？,오늘 당신은 마음의 소리에 어떻게 마주하나요?
348,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは残したいものから何を学んでいますか,What is what you want to leave behind teaching you?,你想留下的东西正在教会你什么？,남기고 싶은 것은(는) 당신에게 무엇을 가르치고 있나요?
349,silence,沈黙,Silence,沉默,침묵,今のあなたに必要な今ここは何ですか,What kind of the here and now do you need right now?,此刻，你需要怎样的此时此地？,지금의 당신에게 필요한 지금 여기은(는) 무엇인가요?
350,identity,自己,Identity,自我,자기,あなたの中で静かに浮かぶ信じているものは何ですか,What quietly rises within you when you think of what you believe in?,想到你所相信的东西时，在你心里静静浮现的是什么？,"당신이 믿는 것을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
351,existence,存在,Existence,存在,존재,もし少し立ち止まるなら今いる場所をどう見ますか,"If you paused for a moment, how would you look at where you stand now?",如果你稍微停下来，会如何看待你此刻所站的位置？,"잠시 멈춘다면, 지금 당신이 서 있는 자리을(를) 어떻게 바라보게 될까요?"
352,fear,恐れ,Fear,恐惧,두려움,あなたは失うことを事実として見ていますか それとも解釈として見ていますか,"Are you seeing the possibility of loss as fact, or as interpretation?",你看到的失去这件事，是事实，还是一种解释？,"당신은 잃는 것을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
353,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる重荷は何ですか,What does a burden honestly feel like to you right now?,此刻，你诚实地感受到的负担是什么？,지금의 당신이 솔직하게 느끼는 짐은(는) 무엇인가요?
354,hope,希望,Hope,希望,희망,あなたは信じたい未来を抱えていますか それとも迎え入れ始めていますか,"Are you carrying the future you want to believe in, or beginning to welcome it?",你是在背负着你想相信的未来，还是开始迎接它？,"당신은 믿고 싶은 미래을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
355,relationship,関係,Relationship,关系,관계,今日のあなたにとって守りたい人はどんな存在ですか,What kind of presence is the person you want to protect to you today?,今天，对你来说，你想守护的人是怎样的存在？,오늘 당신에게 지키고 싶은 사람은(는) 어떤 존재인가요?
356,gratitude,感謝,Gratitude,感恩,감사,あなたの心は残っている温かさに何を求めていますか,What is your heart asking of the warmth that still remains?,你的心向仍然留存的温暖在寻求什么？,당신의 마음은 남아 있는 따뜻함에 무엇을 바라고 있나요?
357,reflection,内省,Reflection,反思,성찰,今のあなたは自分への厳しさにどんな名前をつけますか,What name would you give to your harshness toward yourself right now?,此刻，你会给你对自己的苛刻取什么名字？,지금의 당신은 자신에게 향한 엄격함에 어떤 이름을 붙이고 싶나요?
358,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは別れを誰の視線で見ていますか,Through whose eyes are you seeing parting?,你正透过谁的目光看着离别？,당신은 이별을(를) 누구의 시선으로 보고 있나요?
359,silence,沈黙,Silence,沉默,침묵,もし静かに座るなら空白は何を語りそうですか,"If you sat quietly, what might emptiness say?",如果你安静坐下，空白似乎会说些什么？,"조용히 앉아 있다면, 공백은(는) 무엇을 말할 것 같나요?"
360,identity,自己,Identity,自我,자기,あなたの中に残っている背負っている役割の灯は何ですか,What small lamp of the role you carry still remains within you?,在你心里，仍然留着怎样一盏关于你所背负的角色的灯？,당신 안에는 아직도 당신이 짊어진 역할에 관한 어떤 작은 등불이 남아 있나요?
361,existence,存在,Existence,存在,존재,今あなたにとって本当の望みとは何ですか,What is your true desire to you right now?,此刻，对你来说，你真正的愿望是什么？,지금 당신에게 당신의 진정한 바람은(는) 무엇인가요?
362,fear,恐れ,Fear,恐惧,두려움,今日のあなたは人の期待にどう向き合いますか,How are you facing other people's expectations today?,今天，你要如何面对他人的期待？,오늘 당신은 타인의 기대에 어떻게 마주하나요?
363,release,手放す,Release,放下,놓아줌,あなたは後悔から何を学んでいますか,What is regret teaching you?,后悔正在教会你什么？,후회은(는) 당신에게 무엇을 가르치고 있나요?
364,hope,希望,Hope,希望,희망,今のあなたに必要なやり直す力は何ですか,What kind of the strength to begin again do you need right now?,此刻，你需要怎样的重新开始的力量？,지금의 당신에게 필요한 다시 시작할 힘은(는) 무엇인가요?
365,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ距離を置くべき関係は何ですか,What quietly comes to mind when you think of a relationship that needs distance?,想到需要保持距离的关系时，在你心里静静浮现的是什么？,"거리를 두어야 할 관계을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
